pdb_id	len_true	len_pred	dynalign_pairs	true_coverage	status	note
5mei	121	500	0	0.000000	no_alignment	windowed_pred(500->242)
6mte	120	500	0	0.000000	no_alignment	windowed_pred(500->201)
6mtd	120	500	0	0.000000	no_alignment	windowed_pred(500->248)
6mtc	120	500	0	0.000000	no_alignment	windowed_pred(500->172)
6mtb	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6n8j	121	500	0	0.000000	no_alignment	windowed_pred(500->213)
6n8k	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6n8l	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
5ndg	121	500	0	0.000000	no_alignment	windowed_pred(500->285)
5ndw	121	500	0	0.000000	no_alignment	windowed_pred(500->275)
5ndv	121	500	0	0.000000	no_alignment	windowed_pred(500->172)
6nu2	56	500	0	0.000000	no_alignment	windowed_pred(500->306)
2nue	46	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
2nue	46	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5obm	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
5on6	121	500	0	0.000000	no_alignment	windowed_pred(500->276)
5on6	121	500	0	0.000000	no_alignment	windowed_pred(500->228)
5on2	87	500	0	0.000000	no_alignment	windowed_pred(500->191)
5on2	87	500	0	0.000000	no_alignment	windowed_pred(500->268)
5on3	87	500	0	0.000000	no_alignment	windowed_pred(500->206)
5on3	87	500	0	0.000000	no_alignment	windowed_pred(500->170)
5onh	87	500	0	0.000000	no_alignment	windowed_pred(500->203)
5onh	87	500	0	0.000000	no_alignment	windowed_pred(500->167)
6qx9	117	500	0	0.000000	no_alignment	windowed_pred(500->160)
5t7v	114	500	0	0.000000	no_alignment	windowed_pred(500->306)
5tcu	114	500	0	0.000000	no_alignment	windowed_pred(500->296)
5tgm	121	500	0	0.000000	no_alignment	windowed_pred(500->167)
5tga	121	500	0	0.000000	no_alignment	windowed_pred(500->158)
4u3u	121	500	0	0.000000	no_alignment	windowed_pred(500->223)
4u3m	121	500	0	0.000000	no_alignment	windowed_pred(500->171)
4u3n	121	500	0	0.000000	no_alignment	windowed_pred(500->198)
4u4o	121	500	0	0.000000	no_alignment	windowed_pred(500->186)
4u4n	121	500	0	0.000000	no_alignment	windowed_pred(500->205)
4u4y	121	500	0	0.000000	no_alignment	windowed_pred(500->212)
4u4z	121	500	0	0.000000	no_alignment	windowed_pred(500->264)
4u4q	121	500	0	0.000000	no_alignment	windowed_pred(500->207)
4u4r	121	500	0	0.000000	no_alignment	windowed_pred(500->228)
4u4u	121	500	0	0.000000	no_alignment	windowed_pred(500->289)
4u56	121	500	0	0.000000	no_alignment	windowed_pred(500->162)
4u55	121	500	0	0.000000	no_alignment	windowed_pred(500->284)
4u52	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
4u53	121	500	0	0.000000	no_alignment	windowed_pred(500->211)
4u50	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
4u51	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
4u6f	121	500	0	0.000000	no_alignment	windowed_pred(500->269)
5umd	119	500	0	0.000000	no_alignment	windowed_pred(500->300)
5v6x	72	500	0	0.000000	no_alignment	windowed_pred(500->306)
5v6x	72	500	0	0.000000	no_alignment	windowed_pred(500->306)
4v88	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
4v88	121	500	0	0.000000	no_alignment	windowed_pred(500->167)
4v91	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
5ws2	5	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5ws2	5	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3wzi	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3wzi	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->306)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->214)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->306)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->246)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->234)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->306)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->221)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->203)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->170)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->288)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->281)
4wzj	68	500	0	0.000000	no_alignment	windowed_pred(500->212)
5xxb	124	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
2xxa	106	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
2xxa	106	500	0	0.000000	no_alignment	windowed_pred(500->306)
5xy3	118	500	0	0.000000	no_alignment	windowed_pred(500->182)
5h1l	7	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5h1k	13	500	0	0.000000	no_alignment	windowed_pred(500->292)
5h1k	13	500	0	0.000000	no_alignment	windowed_pred(500->249)
5h3u	10	500	0	0.000000	no_alignment	windowed_pred(500->251)
4l8h	20	500	0	0.000000	no_alignment	windowed_pred(500->207)
4l8h	20	500	0	0.000000	no_alignment	windowed_pred(500->278)
4v2s	65	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4v2s	65	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4v2s	65	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4v2s	65	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4v2s	65	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4v2s	65	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
5x6b	75	500	0	0.000000	no_alignment	windowed_pred(500->207)
5x6b	75	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4y91	6	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
4aq7	87	500	0	0.000000	no_alignment	windowed_pred(500->193)
4aq7	87	500	0	0.000000	no_alignment	windowed_pred(500->175)
4arc	87	500	0	0.000000	no_alignment	windowed_pred(500->193)
4ari	87	500	0	0.000000	no_alignment	windowed_pred(500->166)
4as1	87	500	0	0.000000	no_alignment	windowed_pred(500->230)
5ccb	77	500	0	0.000000	no_alignment	windowed_pred(500->306)
5ccb	77	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
5ccx	77	500	0	0.000000	no_alignment	windowed_pred(500->281)
5ccx	77	500	0	0.000000	no_alignment	windowed_pred(500->306)
5cd1	77	500	0	0.000000	no_alignment	windowed_pred(500->306)
5cd1	77	500	0	0.000000	no_alignment	windowed_pred(500->301)
5cd1	77	500	0	0.000000	no_alignment	windowed_pred(500->198)
5cd1	77	500	0	0.000000	no_alignment	windowed_pred(500->306)
4cqn	82	500	0	0.000000	no_alignment	windowed_pred(500->296)
4cqn	82	500	0	0.000000	no_alignment	windowed_pred(500->306)
4dwa	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
1eqq	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
1eqq	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
1eqq	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
2gje	39	500	0	0.000000	no_alignment	windowed_pred(500->209)
2gje	39	500	0	0.000000	no_alignment	windowed_pred(500->183)
6hma	2923	500	0	0.000000	timeout	dynalign timeout (300s)
3mj0	9	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3moj	74	500	0	0.000000	no_alignment	windowed_pred(500->187)
5new	2	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5new	2	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5new	2	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5new	2	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5new	2	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5new	2	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3nnh	12	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3nnh	12	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3nnh	12	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
3nnh	12	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5omw	87	500	0	0.000000	no_alignment	windowed_pred(500->194)
5omw	87	500	0	0.000000	no_alignment	windowed_pred(500->165)
2py9	12	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
2py9	12	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
5ud5	72	500	0	0.000000	no_alignment	windowed_pred(500->306)
5ud5	72	500	0	0.000000	no_alignment	windowed_pred(500->193)
4yvk	74	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4yvk	74	500	0	0.000000	no_alignment	windowed_pred(500->230)
4yvj	74	500	0	0.000000	no_alignment	windowed_pred(500->306)
4yvj	74	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
4yvi	74	500	0	0.000000	no_alignment	windowed_pred(500->305)
4yvi	74	500	0	0.000000	no_alignment	windowed_pred(500->306)
3zgz	88	500	0	0.000000	no_alignment	windowed_pred(500->162)
3zgz	88	500	0	0.000000	no_alignment	windowed_pred(500->174)
2zzn	75	500	0	0.000000	no_alignment	windowed_pred(500->260)
2zzn	75	500	0	0.000000	no_alignment	windowed_pred(500->302)
2zzm	88	500	0	0.000000	no_alignment	windowed_pred(500->306)
6ajk	28	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6t59	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6t7i	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6t7t	121	500	0	0.000000	no_alignment	windowed_pred(500->276)
6l1w	7	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6p5n	119	500	0	0.000000	no_alignment	windowed_pred(500->227)
6p5i	119	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6p5k	119	500	0	0.000000	no_alignment	windowed_pred(500->306)
6p5j	119	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
6r5q	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6r6p	120	500	0	0.000000	timeout	windowed_pred(500->262); dynalign timeout (300s)
6r7q	120	500	0	0.000000	no_alignment	windowed_pred(500->262)
6r84	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6r86	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6r87	121	500	0	0.000000	no_alignment	windowed_pred(500->165)
6s0x	115	500	0	0.000000	no_alignment	windowed_pred(500->278)
6s0z	114	500	0	0.000000	no_alignment	windowed_pred(500->266)
6s05	121	500	0	0.000000	no_alignment	windowed_pred(500->181)
6s12	115	500	0	0.000000	no_alignment	windowed_pred(500->197)
6s13	115	500	0	0.000000	no_alignment	windowed_pred(500->162)
6t4q	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6aax	28	500	0	0.000000	no_alignment	windowed_pred(500->239)
6aax	28	500	0	0.000000	no_alignment	windowed_pred(500->277)
6een	9	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6ip5	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6ip8	121	500	0	0.000000	no_alignment	windowed_pred(500->249)
6llb	6	500	0	0.000000	no_alignment	windowed_pred(500->164)
6llb	6	500	0	0.000000	no_alignment	windowed_pred(500->263)
6ole	121	500	0	0.000000	no_alignment	windowed_pred(500->176)
6olg	119	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6olf	119	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6oli	121	500	0	0.000000	no_alignment	windowed_pred(500->160)
6olz	119	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
6om0	119	500	0	0.000000	no_alignment	windowed_pred(500->242)
6om7	121	500	0	0.000000	no_alignment	windowed_pred(500->249)
6qik	121	500	0	0.000000	no_alignment	windowed_pred(500->289)
6qtz	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
6qt0	121	500	0	0.000000	no_alignment	windowed_pred(500->281)
6ri5	121	500	0	0.000000	no_alignment	windowed_pred(500->169)
6rzz	121	500	0	0.000000	no_alignment	windowed_pred(500->194)
6sy6	39	500	0	0.000000	no_alignment	windowed_pred(500->239)
6sy6	39	500	0	0.000000	no_alignment	windowed_pred(500->212)
6sy4	43	500	0	0.000000	no_alignment	windowed_pred(500->180)
6sy4	43	500	0	0.000000	no_alignment	windowed_pred(500->179)
6uz7	121	500	0	0.000000	no_alignment	windowed_pred(500->238)
6sga	474	500	0	0.000000	timeout	dynalign timeout (300s)
6s47	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6uej	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6gz3	119	500	0	0.000000	no_alignment	windowed_pred(500->269)
6gz5	119	500	0	0.000000	no_alignment	windowed_pred(500->284)
6hcj	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
3jag	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
5lks	121	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
5m1j	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
5mc6	121	500	0	0.000000	no_alignment	windowed_pred(500->173)
6q8y	121	500	0	0.000000	no_alignment	windowed_pred(500->189)
6qzp	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6w2s	1697	500	0	0.000000	timeout	dynalign timeout (300s)
6w2t	1697	500	0	0.000000	timeout	dynalign timeout (300s)
6wru	115	500	0	0.000000	no_alignment	windowed_pred(500->189)
6i9r	69	500	0	0.000000	no_alignment	windowed_pred(500->228)
6y6x	120	500	0	0.000000	no_alignment	windowed_pred(500->158)
6z6j	121	500	0	0.000000	no_alignment	windowed_pred(500->239)
6tb3	121	500	0	0.000000	no_alignment	windowed_pred(500->168)
6vlz	73	500	0	0.000000	no_alignment	windowed_pred(500->281)
6vmi	73	500	0	0.000000	no_alignment	windowed_pred(500->306)
6ylh	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
6ylg	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6zm7	121	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6w6l	119	500	0	0.000000	no_alignment	windowed_pred(500->286)
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6yud	4	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
6zmi	121	500	0	0.000000	no_alignment	windowed_pred(500->219)
6zmo	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
6zme	121	500	0	0.000000	no_alignment	windowed_pred(500->219)
6woo	121	500	0	0.000000	no_alignment	windowed_pred(500->169)
6oig	121	500	0	0.000000	no_alignment	windowed_pred(500->198)
6swa	119	500	0	0.000000	no_alignment	windowed_pred(500->277)
6xa1	120	500	0	0.000000	no_alignment	windowed_pred(500->262)
7nrc	121	500	0	0.000000	no_alignment	windowed_pred(500->156)
7l08	73	500	0	0.000000	no_alignment	windowed_pred(500->300)
7l20	73	500	0	0.000000	no_alignment	windowed_pred(500->280)
7of3	69	500	0	0.000000	no_alignment	windowed_pred(500->275)
5aj0	121	500	0	0.000000	timeout	windowed_pred(500->291); dynalign timeout (300s)
3j7y	73	500	0	0.000000	no_alignment	windowed_pred(500->294)
3j9m	73	500	0	0.000000	no_alignment	windowed_pred(500->221)
3jaj	120	500	0	0.000000	no_alignment	windowed_pred(500->170)
5juu	121	500	0	0.000000	no_alignment	windowed_pred(500->172)
5juo	121	500	0	0.000000	no_alignment	windowed_pred(500->193)
5jut	121	500	0	0.000000	no_alignment	windowed_pred(500->262)
5lzz	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
5lzy	120	500	0	0.000000	no_alignment	windowed_pred(500->306)
5lzx	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
5lzw	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
5lzv	120	500	0	0.000000	no_alignment	windowed_pred(500->306)
5lzt	120	500	0	0.000000	no_alignment	windowed_pred(500->220)
5lzu	120	500	0	0.000000	no_alignment	windowed_pred(500->203)
5lzs	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
5t2c	121	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6wqq	115	500	0	0.000000	no_alignment	windowed_pred(500->264)
6wqn	115	500	0	0.000000	no_alignment	windowed_pred(500->292)
6wrs	115	500	0	0.000000	no_alignment	windowed_pred(500->227)
6zsg	73	500	0	0.000000	no_alignment	windowed_pred(500->174)
6zsd	73	500	0	0.000000	no_alignment	windowed_pred(500->221)
6zsc	73	500	0	0.000000	no_alignment	windowed_pred(500->163)
6zsa	73	500	0	0.000000	no_alignment	windowed_pred(500->181)
6zs9	73	500	0	0.000000	no_alignment	windowed_pred(500->212)
7a01	120	500	0	0.000000	no_alignment	windowed_pred(500->203)
7a5k	73	500	0	0.000000	no_alignment	windowed_pred(500->223)
6t83	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6y0g	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6y57	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6z6n	121	500	0	0.000000	no_alignment	windowed_pred(500->163)
6z6m	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
6z6l	121	500	0	0.000000	no_alignment	windowed_pred(500->196)
6z6k	121	500	0	0.000000	no_alignment	windowed_pred(500->186)
5apo	121	500	0	0.000000	no_alignment	windowed_pred(500->210)
5apn	121	500	0	0.000000	no_alignment	windowed_pred(500->169)
7bhp	120	500	0	0.000000	no_alignment	windowed_pred(500->172)
6gqv	121	500	0	0.000000	no_alignment	windowed_pred(500->174)
7jqc	1869	500	0	0.000000	timeout	dynalign timeout (300s)
5oom	69	500	0	0.000000	no_alignment	windowed_pred(500->264)
5ool	1559	500	0	0.000000	timeout	dynalign timeout (300s)
5tbw	121	500	0	0.000000	no_alignment	windowed_pred(500->161)
5tbw	121	500	0	0.000000	no_alignment	windowed_pred(500->173)
6tnu	121	500	0	0.000000	no_alignment	windowed_pred(500->306)
4ug0	121	500	0	0.000000	no_alignment	windowed_pred(500->263)
6xir	121	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6zvk	120	500	0	0.000000	no_alignment	windowed_pred(500->248)
6sgc	120	500	0	0.000000	no_alignment	windowed_pred(500->201)
6y2l	120	500	0	0.000000	no_alignment	windowed_pred(500->185)
5li0	114	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
7of2	69	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
7of0	69	500	0	0.000000	no_alignment	windowed_pred(500->257)
7of4	69	500	0	0.000000	no_alignment	windowed_pred(500->192)
7of5	69	500	0	0.000000	no_alignment	windowed_pred(500->306)
7of6	69	500	0	0.000000	no_alignment	windowed_pred(500->233)
7of7	1559	500	0	0.000000	timeout	dynalign timeout (300s)
7n06	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n06	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n06	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n06	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n06	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n06	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n33	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n33	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n33	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n33	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n33	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7n33	3	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7o7y	120	500	0	0.000000	no_alignment	windowed_pred(500->259)
7o7z	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
7o80	119	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
7o81	120	500	0	0.000000	no_alignment	windowed_pred(500->169)
7nfx	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
7odr	72	500	0	0.000000	no_alignment	windowed_pred(500->158)
7ods	72	500	0	0.000000	no_alignment	windowed_pred(500->159)
7odt	72	500	0	0.000000	no_alignment	windowed_pred(500->212)
7o9k	69	500	0	0.000000	no_alignment	windowed_pred(500->293)
7o9m	69	500	0	0.000000	no_alignment	windowed_pred(500->247)
7nwg	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
7nwi	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
7ogm	49	500	0	0.000000	no_alignment	windowed_pred(500->165)
7ogm	49	500	0	0.000000	no_alignment	windowed_pred(500->158)
7ogm	49	500	0	0.000000	no_alignment	windowed_pred(500->174)
7ogm	49	500	0	0.000000	no_alignment	windowed_pred(500->164)
7ogm	49	500	0	0.000000	no_alignment	windowed_pred(500->157)
7ogm	49	500	0	0.000000	no_alignment	windowed_pred(500->158)
7obr	120	500	0	0.000000	timeout	no_kmer_hit; used_full_pred; dynalign timeout (300s)
6xu6	120	500	0	0.000000	no_alignment	windowed_pred(500->239)
6xu8	120	500	0	0.000000	no_alignment	windowed_pred(500->263)
7mdz	120	500	0	0.000000	no_alignment	windowed_pred(500->251)
7oi7	69	500	0	0.000000	no_alignment	windowed_pred(500->216)
7oi8	69	500	0	0.000000	no_alignment	windowed_pred(500->245)
7oi9	69	500	0	0.000000	no_alignment	windowed_pred(500->194)
7oia	69	500	0	0.000000	no_alignment	windowed_pred(500->212)
7oib	69	500	0	0.000000	no_alignment	windowed_pred(500->306)
7oic	69	500	0	0.000000	no_alignment	windowed_pred(500->243)
7oid	69	500	0	0.000000	no_alignment	windowed_pred(500->228)
7oie	69	500	0	0.000000	no_alignment	windowed_pred(500->225)
7ofz	19	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7og0	17	500	0	0.000000	no_alignment	no_kmer_hit; used_full_pred
7ls1	121	500	0	0.000000	no_alignment	windowed_pred(500->189)
7ls2	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
7of1	121	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
7rr5	121	500	0	0.000000	no_alignment	windowed_pred(500->281)
7asm	115	500	0	0.000000	no_alignment	windowed_pred(500->204)
7asn	106	500	0	0.000000	no_alignment	windowed_pred(500->220)
7asp	114	500	0	0.000000	no_alignment	windowed_pred(500->235)
7pd3	69	500	0	0.000000	no_alignment	windowed_pred(500->167)
7r81	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
6xn5	32	500	0	0.000000	no_alignment	windowed_pred(500->168)
7olc	120	500	0	0.000000	timeout	windowed_pred(500->306); dynalign timeout (300s)
7old	120	500	0	0.000000	no_alignment	windowed_pred(500->306)
7cpu	120	500	0	0.000000	no_alignment	windowed_pred(500->306)
7cpv	120	500	0	0.000000	no_alignment	windowed_pred(500->306)
